case_sample_id,source,case_id,geo_id,pressure_level_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,support_pressure_MPa,P_s,dat_file,max_settlement_m,max_heave_m,peak_abutment_stress_MPa,support_pressure_MPa_from_summary,q_top_MPa_from_summary,summary_file,status,qc_flag,meets_control,design_note
stage3_s3_g013_p03,stage3,s3_g013_p03,g013,p03,923.53,1.05693,3.9754,20.1247,0.708178,1.13294,36.3861,0.925485,1.1,4.4e+08,s3_g013_p03.dat,0.727047,0.2139688,70.38209,1.1,20.1247,summary_s3_g013_p03.tab,done,ok,1,
stage3_s3_g013_p04,stage3,s3_g013_p04,g013,p04,923.53,1.05693,3.9754,20.1247,0.708178,1.13294,36.3861,0.925485,1.4,5.6e+08,s3_g013_p04.dat,0.6835853,0.2128345,70.1865,1.4,20.1247,summary_s3_g013_p04.tab,done,ok,1,
stage3_s3_g013_p05,stage3,s3_g013_p05,g013,p05,923.53,1.05693,3.9754,20.1247,0.708178,1.13294,36.3861,0.925485,1.7,6.8e+08,s3_g013_p05.dat,0.6474147,0.2115548,70.16596,1.7,20.1247,summary_s3_g013_p05.tab,done,ok,1,
stage3_s3_g013_p06,stage3,s3_g013_p06,g013,p06,923.53,1.05693,3.9754,20.1247,0.708178,1.13294,36.3861,0.925485,2,8e+08,s3_g013_p06.dat,0.616884,0.2095837,70.17674,2,20.1247,summary_s3_g013_p06.tab,done,ok,1,
stage3_s3_g013_p07,stage3,s3_g013_p07,g013,p07,923.53,1.05693,3.9754,20.1247,0.708178,1.13294,36.3861,0.925485,2.3,9.2e+08,s3_g013_p07.dat,0.5913414,0.2073364,70.21102,2.3,20.1247,summary_s3_g013_p07.tab,done,ok,1,
stage3_s3_g013_p08,stage3,s3_g013_p08,g013,p08,923.53,1.05693,3.9754,20.1247,0.708178,1.13294,36.3861,0.925485,2.6,1.04e+09,s3_g013_p08.dat,0.5700923,0.2058894,70.26321,2.6,20.1247,summary_s3_g013_p08.tab,done,ok,1,
stage3_s3_g014_p01,stage3,s3_g014_p01,g014,p01,884.626,0.925993,3.04221,19.191,1.1705,0.625903,35.3666,0.965616,0.5,2e+08,s3_g014_p01.dat,36.07401,0.8877608,64.05267,0.5,19.191,summary_s3_g014_p01.tab,done,settlement_gt_2m,0,
stage3_s3_g014_p02,stage3,s3_g014_p02,g014,p02,884.626,0.925993,3.04221,19.191,1.1705,0.625903,35.3666,0.965616,0.8,3.2e+08,s3_g014_p02.dat,27.08111,0.6384878,62.1422,0.8,19.191,summary_s3_g014_p02.tab,done,settlement_gt_2m,0,
stage3_s3_g014_p03,stage3,s3_g014_p03,g014,p03,884.626,0.925993,3.04221,19.191,1.1705,0.625903,35.3666,0.965616,1.1,4.4e+08,s3_g014_p03.dat,7.631233,0.2679091,60.75722,1.1,19.191,summary_s3_g014_p03.tab,done,settlement_gt_2m,0,
stage3_s3_g014_p04,stage3,s3_g014_p04,g014,p04,884.626,0.925993,3.04221,19.191,1.1705,0.625903,35.3666,0.965616,1.4,5.6e+08,s3_g014_p04.dat,0.6832666,0.190415,72.68368,1.4,19.191,summary_s3_g014_p04.tab,done,ok,1,
stage3_s3_g014_p05,stage3,s3_g014_p05,g014,p05,884.626,0.925993,3.04221,19.191,1.1705,0.625903,35.3666,0.965616,1.7,6.8e+08,s3_g014_p05.dat,0.615811,0.1906988,72.62492,1.7,19.191,summary_s3_g014_p05.tab,done,ok,1,
stage3_s3_g014_p06,stage3,s3_g014_p06,g014,p06,884.626,0.925993,3.04221,19.191,1.1705,0.625903,35.3666,0.965616,2,8e+08,s3_g014_p06.dat,0.5646352,0.1896424,72.59237,2,19.191,summary_s3_g014_p06.tab,done,ok,1,
stage3_s3_g014_p07,stage3,s3_g014_p07,g014,p07,884.626,0.925993,3.04221,19.191,1.1705,0.625903,35.3666,0.965616,2.3,9.2e+08,s3_g014_p07.dat,0.5247063,0.1892001,72.3723,2.3,19.191,summary_s3_g014_p07.tab,done,ok,1,
stage3_s3_g014_p08,stage3,s3_g014_p08,g014,p08,884.626,0.925993,3.04221,19.191,1.1705,0.625903,35.3666,0.965616,2.6,1.04e+09,s3_g014_p08.dat,0.4920163,0.1882386,72.20725,2.6,19.191,summary_s3_g014_p08.tab,done,ok,1,
stage3_s3_g015_p01,stage3,s3_g015_p01,g015,p01,902.513,0.974574,5.12698,19.6203,1.27601,0.975268,30.0169,1.19049,0.5,2e+08,s3_g015_p01.dat,30.83973,0.9133354,61.71343,0.5,19.6203,summary_s3_g015_p01.tab,done,settlement_gt_2m,0,
stage3_s3_g015_p02,stage3,s3_g015_p02,g015,p02,902.513,0.974574,5.12698,19.6203,1.27601,0.975268,30.0169,1.19049,0.8,3.2e+08,s3_g015_p02.dat,1.138664,0.1785102,64.81927,0.8,19.6203,summary_s3_g015_p02.tab,done,ok,1,
stage3_s3_g015_p03,stage3,s3_g015_p03,g015,p03,902.513,0.974574,5.12698,19.6203,1.27601,0.975268,30.0169,1.19049,1.1,4.4e+08,s3_g015_p03.dat,0.8845867,0.1773801,64.75269,1.1,19.6203,summary_s3_g015_p03.tab,done,ok,1,
stage3_s3_g015_p04,stage3,s3_g015_p04,g015,p04,902.513,0.974574,5.12698,19.6203,1.27601,0.975268,30.0169,1.19049,1.4,5.6e+08,s3_g015_p04.dat,0.8010165,0.1785084,64.58191,1.4,19.6203,summary_s3_g015_p04.tab,done,ok,1,
stage3_s3_g015_p05,stage3,s3_g015_p05,g015,p05,902.513,0.974574,5.12698,19.6203,1.27601,0.975268,30.0169,1.19049,1.7,6.8e+08,s3_g015_p05.dat,0.7292051,0.1768947,64.3339,1.7,19.6203,summary_s3_g015_p05.tab,done,ok,1,
stage3_s3_g015_p06,stage3,s3_g015_p06,g015,p06,902.513,0.974574,5.12698,19.6203,1.27601,0.975268,30.0169,1.19049,2,8e+08,s3_g015_p06.dat,0.6787347,0.1779158,64.19862,2,19.6203,summary_s3_g015_p06.tab,done,ok,1,
stage3_s3_g015_p07,stage3,s3_g015_p07,g015,p07,902.513,0.974574,5.12698,19.6203,1.27601,0.975268,30.0169,1.19049,2.3,9.2e+08,s3_g015_p07.dat,0.6311798,0.1770149,64.06039,2.3,19.6203,summary_s3_g015_p07.tab,done,ok,1,
stage3_s3_g015_p08,stage3,s3_g015_p08,g015,p08,902.513,0.974574,5.12698,19.6203,1.27601,0.975268,30.0169,1.19049,2.6,1.04e+09,s3_g015_p08.dat,0.5915247,0.1759565,63.83739,2.6,19.6203,summary_s3_g015_p08.tab,done,ok,1,
stage3_s3_g016_p01,stage3,s3_g016_p01,g016,p01,1129.25,1.05246,4.3992,25.0619,0.869265,1.34365,25.5506,0.983228,0.5,2e+08,s3_g016_p01.dat,62.01936,2.385725,71.86766,0.5,25.0619,summary_s3_g016_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g016_p02,stage3,s3_g016_p02,g016,p02,1129.25,1.05246,4.3992,25.0619,0.869265,1.34365,25.5506,0.983228,0.8,3.2e+08,s3_g016_p02.dat,54.28443,2.208193,72.38577,0.8,25.0619,summary_s3_g016_p02.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g016_p03,stage3,s3_g016_p03,g016,p03,1129.25,1.05246,4.3992,25.0619,0.869265,1.34365,25.5506,0.983228,1.1,4.4e+08,s3_g016_p03.dat,44.57666,1.851196,70.17719,1.1,25.0619,summary_s3_g016_p03.tab,done,settlement_gt_2m,0,
stage3_s3_g016_p04,stage3,s3_g016_p04,g016,p04,1129.25,1.05246,4.3992,25.0619,0.869265,1.34365,25.5506,0.983228,1.4,5.6e+08,s3_g016_p04.dat,26.62399,1.220043,70.11412,1.4,25.0619,summary_s3_g016_p04.tab,done,settlement_gt_2m,0,
stage3_s3_g016_p05,stage3,s3_g016_p05,g016,p05,1129.25,1.05246,4.3992,25.0619,0.869265,1.34365,25.5506,0.983228,1.7,6.8e+08,s3_g016_p05.dat,1.489071,0.2785303,71.65127,1.7,25.0619,summary_s3_g016_p05.tab,done,ok,1,
stage3_s3_g016_p06,stage3,s3_g016_p06,g016,p06,1129.25,1.05246,4.3992,25.0619,0.869265,1.34365,25.5506,0.983228,2,8e+08,s3_g016_p06.dat,1.225278,0.2640176,71.04798,2,25.0619,summary_s3_g016_p06.tab,done,ok,1,
stage3_s3_g016_p07,stage3,s3_g016_p07,g016,p07,1129.25,1.05246,4.3992,25.0619,0.869265,1.34365,25.5506,0.983228,2.3,9.2e+08,s3_g016_p07.dat,1.083002,0.2588854,70.80237,2.3,25.0619,summary_s3_g016_p07.tab,done,ok,1,
stage3_s3_g016_p08,stage3,s3_g016_p08,g016,p08,1129.25,1.05246,4.3992,25.0619,0.869265,1.34365,25.5506,0.983228,2.6,1.04e+09,s3_g016_p08.dat,1.008191,0.2584429,70.76738,2.6,25.0619,summary_s3_g016_p08.tab,done,ok,1,
stage3_s3_g017_p01,stage3,s3_g017_p01,g017,p01,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,0.5,2e+08,s3_g017_p01.dat,133.438,9.78687,69.11876,0.5,26.3839,summary_s3_g017_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g017_p02,stage3,s3_g017_p02,g017,p02,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,0.8,3.2e+08,s3_g017_p02.dat,94.36347,6.502409,69.6651,0.8,26.3839,summary_s3_g017_p02.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g017_p03,stage3,s3_g017_p03,g017,p03,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,1.1,4.4e+08,s3_g017_p03.dat,74.25956,5.199713,70.51037,1.1,26.3839,summary_s3_g017_p03.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g017_p04,stage3,s3_g017_p04,g017,p04,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,1.4,5.6e+08,s3_g017_p04.dat,69.76138,4.777991,70.28947,1.4,26.3839,summary_s3_g017_p04.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g017_p05,stage3,s3_g017_p05,g017,p05,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,1.7,6.8e+08,s3_g017_p05.dat,64.654,4.522867,66.24057,1.7,26.3839,summary_s3_g017_p05.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g017_p06,stage3,s3_g017_p06,g017,p06,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,2,8e+08,s3_g017_p06.dat,59.56554,4.000738,70.37131,2,26.3839,summary_s3_g017_p06.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g017_p07,stage3,s3_g017_p07,g017,p07,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,2.3,9.2e+08,s3_g017_p07.dat,55.69711,3.845506,65.35042,2.3,26.3839,summary_s3_g017_p07.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g017_p08,stage3,s3_g017_p08,g017,p08,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,2.6,1.04e+09,s3_g017_p08.dat,49.68565,3.464807,65.92594,2.6,26.3839,summary_s3_g017_p08.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g018_p01,stage3,s3_g018_p01,g018,p01,1125.77,1.49298,4.76096,24.9784,0.837945,1.1128,30.3654,0.810605,0.5,2e+08,s3_g018_p01.dat,58.72472,2.354962,69.51452,0.5,24.9784,summary_s3_g018_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g018_p02,stage3,s3_g018_p02,g018,p02,1125.77,1.49298,4.76096,24.9784,0.837945,1.1128,30.3654,0.810605,0.8,3.2e+08,s3_g018_p02.dat,47.67887,1.866091,70.52578,0.8,24.9784,summary_s3_g018_p02.tab,done,settlement_gt_2m,0,
stage3_s3_g018_p03,stage3,s3_g018_p03,g018,p03,1125.77,1.49298,4.76096,24.9784,0.837945,1.1128,30.3654,0.810605,1.1,4.4e+08,s3_g018_p03.dat,2.09918,0.3480631,74.3753,1.1,24.9784,summary_s3_g018_p03.tab,done,settlement_gt_2m,0,
stage3_s3_g018_p04,stage3,s3_g018_p04,g018,p04,1125.77,1.49298,4.76096,24.9784,0.837945,1.1128,30.3654,0.810605,1.4,5.6e+08,s3_g018_p04.dat,1.654516,0.3374853,73.96314,1.4,24.9784,summary_s3_g018_p04.tab,done,ok,1,
stage3_s3_g018_p05,stage3,s3_g018_p05,g018,p05,1125.77,1.49298,4.76096,24.9784,0.837945,1.1128,30.3654,0.810605,1.7,6.8e+08,s3_g018_p05.dat,1.416357,0.3287541,73.34035,1.7,24.9784,summary_s3_g018_p05.tab,done,ok,1,
stage3_s3_g018_p06,stage3,s3_g018_p06,g018,p06,1125.77,1.49298,4.76096,24.9784,0.837945,1.1128,30.3654,0.810605,2,8e+08,s3_g018_p06.dat,1.251527,0.3220489,73.26446,2,24.9784,summary_s3_g018_p06.tab,done,ok,1,
stage3_s3_g018_p07,stage3,s3_g018_p07,g018,p07,1125.77,1.49298,4.76096,24.9784,0.837945,1.1128,30.3654,0.810605,2.3,9.2e+08,s3_g018_p07.dat,1.154129,0.3176838,73.25226,2.3,24.9784,summary_s3_g018_p07.tab,done,ok,1,
stage3_s3_g018_p08,stage3,s3_g018_p08,g018,p08,1125.77,1.49298,4.76096,24.9784,0.837945,1.1128,30.3654,0.810605,2.6,1.04e+09,s3_g018_p08.dat,1.07648,0.315914,73.92553,2.6,24.9784,summary_s3_g018_p08.tab,done,ok,1,
stage3_s3_g019_p01,stage3,s3_g019_p01,g019,p01,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,0.5,2e+08,s3_g019_p01.dat,0.6999234,0.1712929,63.03382,0.5,17.1647,summary_s3_g019_p01.tab,done,ok,1,
stage3_s3_g019_p02,stage3,s3_g019_p02,g019,p02,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,0.8,3.2e+08,s3_g019_p02.dat,0.6408473,0.1707868,62.7108,0.8,17.1647,summary_s3_g019_p02.tab,done,ok,1,
stage3_s3_g019_p03,stage3,s3_g019_p03,g019,p03,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,1.1,4.4e+08,s3_g019_p03.dat,0.5874831,0.1685622,62.76162,1.1,17.1647,summary_s3_g019_p03.tab,done,ok,1,
stage3_s3_g019_p04,stage3,s3_g019_p04,g019,p04,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,1.4,5.6e+08,s3_g019_p04.dat,0.5483554,0.1672916,62.70601,1.4,17.1647,summary_s3_g019_p04.tab,done,ok,1,
stage3_s3_g019_p05,stage3,s3_g019_p05,g019,p05,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,1.7,6.8e+08,s3_g019_p05.dat,0.5207709,0.1663641,62.525,1.7,17.1647,summary_s3_g019_p05.tab,done,ok,1,
stage3_s3_g019_p06,stage3,s3_g019_p06,g019,p06,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,2,8e+08,s3_g019_p06.dat,0.4915954,0.1643338,62.72655,2,17.1647,summary_s3_g019_p06.tab,done,ok,1,
stage3_s3_g019_p07,stage3,s3_g019_p07,g019,p07,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,2.3,9.2e+08,s3_g019_p07.dat,0.4697718,0.1618642,62.77413,2.3,17.1647,summary_s3_g019_p07.tab,done,ok,1,
stage3_s3_g019_p08,stage3,s3_g019_p08,g019,p08,800.198,1.10644,4.44776,17.1647,0.857098,0.951288,35.1606,0.591268,2.6,1.04e+09,s3_g019_p08.dat,0.45208,0.1602347,62.8336,2.6,17.1647,summary_s3_g019_p08.tab,done,ok,1,
stage3_s3_g020_p01,stage3,s3_g020_p01,g020,p01,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,0.5,2e+08,s3_g020_p01.dat,0.7961986,0.1741615,65.07315,0.5,18.1752,summary_s3_g020_p01.tab,done,ok,1,
stage3_s3_g020_p02,stage3,s3_g020_p02,g020,p02,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,0.8,3.2e+08,s3_g020_p02.dat,0.7231174,0.1730375,64.73137,0.8,18.1752,summary_s3_g020_p02.tab,done,ok,1,
stage3_s3_g020_p03,stage3,s3_g020_p03,g020,p03,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,1.1,4.4e+08,s3_g020_p03.dat,0.6756012,0.1738369,64.56977,1.1,18.1752,summary_s3_g020_p03.tab,done,ok,1,
stage3_s3_g020_p04,stage3,s3_g020_p04,g020,p04,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,1.4,5.6e+08,s3_g020_p04.dat,0.6225693,0.1727015,64.38102,1.4,18.1752,summary_s3_g020_p04.tab,done,ok,1,
stage3_s3_g020_p05,stage3,s3_g020_p05,g020,p05,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,1.7,6.8e+08,s3_g020_p05.dat,0.5905092,0.1729069,64.30805,1.7,18.1752,summary_s3_g020_p05.tab,done,ok,1,
stage3_s3_g020_p06,stage3,s3_g020_p06,g020,p06,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,2,8e+08,s3_g020_p06.dat,0.5629365,0.1720731,64.14577,2,18.1752,summary_s3_g020_p06.tab,done,ok,1,
stage3_s3_g020_p07,stage3,s3_g020_p07,g020,p07,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,2.3,9.2e+08,s3_g020_p07.dat,0.5370036,0.1706185,63.98861,2.3,18.1752,summary_s3_g020_p07.tab,done,ok,1,
stage3_s3_g020_p08,stage3,s3_g020_p08,g020,p08,842.3,1.07999,5.27457,18.1752,0.939498,1.30814,27.8822,1.14881,2.6,1.04e+09,s3_g020_p08.dat,0.5169608,0.1695563,63.77313,2.6,18.1752,summary_s3_g020_p08.tab,done,ok,1,
stage3_s3_g021_p01,stage3,s3_g021_p01,g021,p01,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,0.5,2e+08,s3_g021_p01.dat,1.194943,0.2115619,66.18237,0.5,20.3702,summary_s3_g021_p01.tab,done,ok,1,
stage3_s3_g021_p02,stage3,s3_g021_p02,g021,p02,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,0.8,3.2e+08,s3_g021_p02.dat,1.010278,0.2112288,65.66647,0.8,20.3702,summary_s3_g021_p02.tab,done,ok,1,
stage3_s3_g021_p03,stage3,s3_g021_p03,g021,p03,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,1.1,4.4e+08,s3_g021_p03.dat,0.9041488,0.2114257,65.68323,1.1,20.3702,summary_s3_g021_p03.tab,done,ok,1,
stage3_s3_g021_p04,stage3,s3_g021_p04,g021,p04,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,1.4,5.6e+08,s3_g021_p04.dat,0.8427261,0.2121235,65.55389,1.4,20.3702,summary_s3_g021_p04.tab,done,ok,1,
stage3_s3_g021_p05,stage3,s3_g021_p05,g021,p05,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,1.7,6.8e+08,s3_g021_p05.dat,0.7945941,0.214772,65.37308,1.7,20.3702,summary_s3_g021_p05.tab,done,ok,1,
stage3_s3_g021_p06,stage3,s3_g021_p06,g021,p06,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,2,8e+08,s3_g021_p06.dat,0.74379,0.213793,65.13406,2,20.3702,summary_s3_g021_p06.tab,done,ok,1,
stage3_s3_g021_p07,stage3,s3_g021_p07,g021,p07,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,2.3,9.2e+08,s3_g021_p07.dat,0.6951734,0.2140321,65.24956,2.3,20.3702,summary_s3_g021_p07.tab,done,ok,1,
stage3_s3_g021_p08,stage3,s3_g021_p08,g021,p08,933.759,1.35121,4.5211,20.3702,1.03721,1.07436,28.066,1.20686,2.6,1.04e+09,s3_g021_p08.dat,0.6610145,0.214436,64.94671,2.6,20.3702,summary_s3_g021_p08.tab,done,ok,1,
stage3_s3_g022_p01,stage3,s3_g022_p01,g022,p01,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,0.5,2e+08,s3_g022_p01.dat,0.9954058,0.2191636,76.20346,0.5,19.8898,summary_s3_g022_p01.tab,done,ok,1,
stage3_s3_g022_p02,stage3,s3_g022_p02,g022,p02,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,0.8,3.2e+08,s3_g022_p02.dat,0.8830829,0.2174229,75.82002,0.8,19.8898,summary_s3_g022_p02.tab,done,ok,1,
stage3_s3_g022_p03,stage3,s3_g022_p03,g022,p03,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,1.1,4.4e+08,s3_g022_p03.dat,0.809471,0.217034,75.55359,1.1,19.8898,summary_s3_g022_p03.tab,done,ok,1,
stage3_s3_g022_p04,stage3,s3_g022_p04,g022,p04,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,1.4,5.6e+08,s3_g022_p04.dat,0.755462,0.2164614,75.24048,1.4,19.8898,summary_s3_g022_p04.tab,done,ok,1,
stage3_s3_g022_p05,stage3,s3_g022_p05,g022,p05,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,1.7,6.8e+08,s3_g022_p05.dat,0.7096452,0.2170916,74.95414,1.7,19.8898,summary_s3_g022_p05.tab,done,ok,1,
stage3_s3_g022_p06,stage3,s3_g022_p06,g022,p06,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,2,8e+08,s3_g022_p06.dat,0.6679752,0.2139546,74.7196,2,19.8898,summary_s3_g022_p06.tab,done,ok,1,
stage3_s3_g022_p07,stage3,s3_g022_p07,g022,p07,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,2.3,9.2e+08,s3_g022_p07.dat,0.6334269,0.213868,74.55333,2.3,19.8898,summary_s3_g022_p07.tab,done,ok,1,
stage3_s3_g022_p08,stage3,s3_g022_p08,g022,p08,913.74,1.37835,3.05665,19.8898,0.816648,1.03759,25.4118,0.625922,2.6,1.04e+09,s3_g022_p08.dat,0.6043269,0.2124282,74.47212,2.6,19.8898,summary_s3_g022_p08.tab,done,ok,1,
stage3_s3_g023_p01,stage3,s3_g023_p01,g023,p01,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,0.5,2e+08,s3_g023_p01.dat,0.8064852,0.1858952,64.38028,0.5,17.8562,summary_s3_g023_p01.tab,done,ok,1,
stage3_s3_g023_p02,stage3,s3_g023_p02,g023,p02,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,0.8,3.2e+08,s3_g023_p02.dat,0.7415884,0.1863345,64.24502,0.8,17.8562,summary_s3_g023_p02.tab,done,ok,1,
stage3_s3_g023_p03,stage3,s3_g023_p03,g023,p03,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,1.1,4.4e+08,s3_g023_p03.dat,0.6910441,0.1857764,64.06189,1.1,17.8562,summary_s3_g023_p03.tab,done,ok,1,
stage3_s3_g023_p04,stage3,s3_g023_p04,g023,p04,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,1.4,5.6e+08,s3_g023_p04.dat,0.6495413,0.1854437,63.87762,1.4,17.8562,summary_s3_g023_p04.tab,done,ok,1,
stage3_s3_g023_p05,stage3,s3_g023_p05,g023,p05,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,1.7,6.8e+08,s3_g023_p05.dat,0.6126838,0.1832183,63.75798,1.7,17.8562,summary_s3_g023_p05.tab,done,ok,1,
stage3_s3_g023_p06,stage3,s3_g023_p06,g023,p06,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,2,8e+08,s3_g023_p06.dat,0.5783361,0.1824903,63.53034,2,17.8562,summary_s3_g023_p06.tab,done,ok,1,
stage3_s3_g023_p07,stage3,s3_g023_p07,g023,p07,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,2.3,9.2e+08,s3_g023_p07.dat,0.5494755,0.1806826,63.257,2.3,17.8562,summary_s3_g023_p07.tab,done,ok,1,
stage3_s3_g023_p08,stage3,s3_g023_p08,g023,p08,829.008,1.27417,4.63675,17.8562,0.666644,0.930925,38.1232,1.25885,2.6,1.04e+09,s3_g023_p08.dat,0.5248311,0.1794907,62.931,2.6,17.8562,summary_s3_g023_p08.tab,done,ok,1,
stage3_s3_g024_p01,stage3,s3_g024_p01,g024,p01,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,0.5,2e+08,s3_g024_p01.dat,58.44168,1.481714,73.57302,0.5,24.3242,summary_s3_g024_p01.tab,done,settlement_gt_2m,0,
stage3_s3_g024_p02,stage3,s3_g024_p02,g024,p02,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,0.8,3.2e+08,s3_g024_p02.dat,45.78558,1.218535,72.47962,0.8,24.3242,summary_s3_g024_p02.tab,done,settlement_gt_2m,0,
stage3_s3_g024_p03,stage3,s3_g024_p03,g024,p03,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,1.1,4.4e+08,s3_g024_p03.dat,1.359496,0.2852209,73.40554,1.1,24.3242,summary_s3_g024_p03.tab,done,ok,1,
stage3_s3_g024_p04,stage3,s3_g024_p04,g024,p04,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,1.4,5.6e+08,s3_g024_p04.dat,1.174617,0.2879086,72.82949,1.4,24.3242,summary_s3_g024_p04.tab,done,ok,1,
stage3_s3_g024_p05,stage3,s3_g024_p05,g024,p05,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,1.7,6.8e+08,s3_g024_p05.dat,1.084871,0.289081,72.40924,1.7,24.3242,summary_s3_g024_p05.tab,done,ok,1,
stage3_s3_g024_p06,stage3,s3_g024_p06,g024,p06,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,2,8e+08,s3_g024_p06.dat,1.006042,0.2899118,72.19778,2,24.3242,summary_s3_g024_p06.tab,done,ok,1,
stage3_s3_g024_p07,stage3,s3_g024_p07,g024,p07,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,2.3,9.2e+08,s3_g024_p07.dat,0.9440616,0.2882117,72.17644,2.3,24.3242,summary_s3_g024_p07.tab,done,ok,1,
stage3_s3_g024_p08,stage3,s3_g024_p08,g024,p08,1098.51,1.30646,3.78405,24.3242,0.986218,0.713162,39.1606,0.795257,2.6,1.04e+09,s3_g024_p08.dat,0.8876491,0.2884636,72.25969,2.6,24.3242,summary_s3_g024_p08.tab,done,ok,1,
stage3_s3_g025_p01,stage3,s3_g025_p01,g025,p01,1026.81,1.41516,3.16126,22.6034,0.652042,0.750756,39.4888,0.756227,0.5,2e+08,s3_g025_p01.dat,1.214895,0.2731307,80.61127,0.5,22.6034,summary_s3_g025_p01.tab,done,ok,1,
stage3_s3_g025_p02,stage3,s3_g025_p02,g025,p02,1026.81,1.41516,3.16126,22.6034,0.652042,0.750756,39.4888,0.756227,0.8,3.2e+08,s3_g025_p02.dat,1.109431,0.2750152,80.83111,0.8,22.6034,summary_s3_g025_p02.tab,done,ok,1,
